,hometown,majors,name,paragraph,year,cleandepts,Humanities,Social Science,Natural Science,Stem
84,,Neurobiology,Annette McCabe,"McCabe backpacked through the Marshall Islands, Micronesia, Indonesia, Malaysia, Cambodia, and Thailand to experience life as it is in Southeast Asia and to survey the medical conditions of these countries.",2004,['Neurobiology'],,,1,
85,,Women Studies; International Studies,Amy Piedalue,"Piedalue traveled through Latin America, from Argentina to Mexico, as an exploration of ‰ÛÏglobal citizenship‰Ûù.",2004,"['Women Studies', 'International Studies']",,1,,
86,,English; Anthropology; Comparative History of Ideas,John Bliss,"Bliss traveled through Japan, Northeastern China, Tibet, Vietnam, Thailand, Laos, and Cambodia, with a sketchbook. He hoped to challenge himself while meeting diverse people, exploring new ways of thinking, and removing himself from inherited paradigms. John majored in English, Anthropology and Comparative History of Ideas.",2003,"['English', 'Anthropology', 'Comparative History of Ideas']",1,,,
87,,Math; Anthropology,Ryan Bressler,"Bressler traveled through Peru, Bolivia, Paraguay, Chile and Argentina, taking photographs and documenting the lives of the people he met. He traveled through the South American winter and spring and attempted to witness as many different lifestyles as possible. Ryan majored in Math and Anthropology, with a minor in Physics.",2003,"['Mathematics', 'Anthropology']",1,,,1
88,,Philosophy; Russian Language Literature and Culture,M. Scott Brauer,"Brauer‰Ûªs travels allowed him to experience the poetry of birth and death photographed and heard with the people of Seychelles, the shipbreakers of Alang, the graffiti writers of Berlin, and the tribal spring of Siberia. Scott majored in Philosophy and Russian Language Literature and Culture.",2003,"['Philosophy', 'Russian Language Literature and Culture']",1,1,,
89,,Political Science; History,Brook Kelly,"Kelly trekked through Kenya, Uganda, Tanzania, Malawi, Zambia and Zimbabwe in an attempt to experience the reality of these countries, not merely their academic representations. Brook majored in Political Science and History.",2003,"['Political Science', 'History']",1,1,,
90,,Microbiology; Sociology,Duc Ngo,"NgoåÊtravelled to Cambodia, Laos, Nepal and Madagascar to explore the practices of traditional medicine and the quality of life of the mountainous and tribal people. Duc majored in Microbiology and Sociology.",2003,"['Microbiology', 'Sociology']",,1,1,
91,,English; Comparative History of Ideas,Carol Waters,"Waters travelled through Nepal, Tibet, Southeast Asia, China, and South America to explore the nature of labor by doing a photo journal of people‰Ûªs hands. Carol majoredin English and Comparative History of Ideas.",2003,"['English', 'Comparative History of Ideas']",1,,,
92,,English,Zoe Zarkades,"Zarkades travels explored the history and culture of the peoples of Mesoamerica, Peru, Brazil, and the Caribbean. She used a variety of transportation: feet, canoes, planes, boats, and even a llama. Zoe majored in English, with a minor in Drama.",2003,['English'],1,,,
93,,Biology,Teresa Bleakley,"Bleakley backpacked through Thailand and Cambodia, traveled through the Himalayas, and ended up in India, spending approximately one month on each adventure. Teresa‰Ûªs plans included expanding ‰ÛÏ‰Û_every limitation I have ever personally abided by .I hope to lose myself in order to discover my true inner strength.‰Ûù Teresa was a Biology major and her inspiration to travel to Asia stemmed from her contact with participants in ‰ÛÏDoctors without Borders‰Ûù.",2002,['Biology'],,,1,
94,,International Studies; Economics,Ryan Eney,"Eney proposed to begin his travels in Moscow and continue through the Ukrane to Odessa. He then traveled by boat to Istanbul, on to Jaffa, and completed his journey by walking 40 miles to Jerusalem. He traveled mostly by foot and ‰ÛÏwith a destination in mind but a willingness to stop and listen.‰Ûù Ryan graduated International studies and Economics.",2002,"['International Studies', 'Economics']",,1,,
95,,Psychology,Carrisa Leeson,"Leeson traveled throughout Southeast Asia, including Vietnam, Thailand, Cambodia, and Laos. She identifies herself ‰ÛÏas a late-blooming naturalist in a time when the nature she has come to love is shrinking at a mind-boggling rapid rate‰Ûù. She received her BS with Distinction in Psychology graduating in Spring of 2002.",2002,['Psychology'],1,,,
96,,Economics,Mariana Evans,"Evans followed the traditional pilgrimage route to Santiago de Compostela, Spain starting from le Puy, France. She was interested in the unique religious history of the pilgrimage and the art and architecture along the route. Marlana graduated in Spring 2002 with College Honors in Economics.",2002,['Economics'],,1,,
97,,Mechanical Engineering,Timothy Isamu O‰ÛªConnor,"O‰ÛªConnor proposed to create a photo-journal of the children and landscapes of Polynesia, Melanesia, and Micronesia (the Pacific islands). He hoped to experience the cultures, geography and people that vary so greatly from island to island. Timothy graduated with Honors in Mechanical Engineering in June 2002.",2002,['Mechanical Engineering'],,,,1
98,,Mathematics; Physics,Matthew White,"White traveled through Italy, Slovenia, Croatia, and Greece, beginning his journey in Naples, Italy. He toured Slovenia and Croatia by bike, spending two to three weeks in each country, learning to cook and play music according to local customs. He majored in Mathematics and Physics.",2002,"['Mathematics', 'Physics']",,,,1
99,,Botany,Vicente Garcia,"Garcia traveled throughout Australia to experience and discover its diversity, especially in its plantlife",Autumn 2000,['Botany'],,,1,
100,,Physics,Adrian Fehr,"Fehr went ‰Û÷back to the basics‰Ûª in Mongolia to wander, explore, relax, and learn, ‰ÛÏletting the cultural tide move me at its pace.‰Ûù",Autumn 2000,['Physics'],,,,1
101,,Comparative History of Ideas,Glenn Willis,"Willis traveled north across the Atlantic to Scotland, through Scandanavia to Poland, then to Iran through Romania and Turkey.",Autumn 2000,['Comparative History of Ideas'],1,,,
102,,History; International Studies,Elizabeth Angell,"Angell‰Ûªs trip was to the Middle East to explore questions of cultural identity. She departed Seattle in August 2001, but was forced to return early from her travels as a result of the September 11, 2001 terrorist attacks. Elizabeth resumed her travels and returned to the Middle East in April 2002.åÊåÊElizabeth was also a Rhodes Scholar Recipient.",Autumn 2000,"['History', 'International Studies']",1,1,,
103,,Communications,Fitz Cahall,Cahall traveled to Australia to use rock climbing as a way to meet people and as a means of travel.,Autumn 2000,['Communications'],1,,,
104,,Zoology,Janie Cogen,"Cogen was interested in the different ways that time is experienced in civilization, in nature, in wilderness. A Zoology major, she has an ‰ÛÏearnest desire to save the world. Since my love of wild things and places nears infatuation, conservation is where I plan to put all my energies.‰Ûù She traveled to Tanzania and eastern Africa to experience living at a different pace and learn more about the natural world she loves.",Spring 2000,['Zoology'],,,1,
105,,French; Microbiology,Fereshteh Farhang,"Farhang, a double major in French and Microbiology, proposed to wander between two great wonders, the great pyramids of Egypt and the Wailing Wall of old Jerusalem, as she was curious about how much of a person‰Ûªs potential is shaped and limited by the symbols that surround them.",Spring 2000,"['French', 'Microbiology']",1,,1,
106,,Biochemistry; Applied Math and Computational Science,Mike MacPherson,"MacPherson, a double major in Biochemistry and Applied Math and Computational Science, wrote in his proposal: ‰ÛÏI find a disparity between the zeal I have for life and the way I‰Ûªve been living mine. It sounds merely paradoxical: In college I‰Ûªve fallen in love with books and ideas, but these ideas urge me to leave the library and explore the world in other ways.‰Ûù Mike embarked on a relatively uncharted exploration of Eastern Russia and Siberia.",Spring 2000,"['Biochemistry', 'Applied Mathematics']",,,1,1
107,,English,Chris Vanderwarker,"Vanderwarker, an English major planning a career in medicine, acted on his commitment to public health by volunteering with organizations that help people with HIV/AIDS. Chris traveledl to Cuba and Kerala, India to experience communities that have been transformed by networks of support and care created in the face of overwhelming poverty and disease.",Spring 2000,['English'],1,,,
108,,Zoology,Gerick Bergsma,"Bergsma is a lifelong naturalist who has worked in the UW seismology lab and developed public earthquake preparedness education programs while majoring in Zoology. Having departed this September, he currently is traveling along the Pacific coast of South America exploring local human and wildlife communities and learning about their existence in the presence of intensive volcanic activity.",Autumn 1999,['Zoology'],,,1,
109,,International Studies,Connor Duncan,"Duncan is aåÊphotographer, mountaineer, and champion of the wilderness, and he is trekking in the Himalayas with his camera, and plans to continue on to Nepal, India, and possibly Tibet.",Autumn 1999,['International Studies'],,1,,
110,,Graphic Design,Tom Eykemans,Eykemans is an artist whoåÊplans a 2000-km bicycle tour of Malaysia and Thailand. He will keep a detailed visual journal of his experiences and offer some of his sketches to people he meets along the way.,Autumn 1999,['Graphic Design'],1,,,
111,,Art History;åÊComparative History of Ideas,Tyler Fox,"Fox plans to work as an artist following graduation. HeåÊbegan his travels in August in Budapest, then continued on to Turkey and is now in India with plans to explore other areas of Asia, looking at the ways in which art is presented and received and how it functions in different cultural contexts.",Autumn 1999,"['Art History', 'Comparative History of Ideas']",1,,,
112,,Political Science,Asher Hershey,"Hershey, whose childhood travel experiences were confined to family car destination blitzes, has embarked on a slow journey by rail and bus throughout India. He is interested in photographing sights, colors and cultures, and experiencing other world views at an intersection of modern and traditional worlds.",Autumn 1999,['Political Science'],,1,,
113,,Anthropology,Elizabeth Kagan,"Kagan has been intrigued by Kathmandu ever since her mother told her about it when she was a little girl. Further intrigued by people who have returned from Nepal and Tibet ‰Ûù drenched with the energy of the Himalayas and Hindu and Buddhist mysticism,‰Ûù Elizabeth is traveling through these countries compiling a collection of images from panoramas to portraits, and joining in festivals and celebrations in the small villages she visits.",Autumn 1999,['Anthropology'],1,,,
114,,Biology; Mathmatics,Taya Marquardt,Marquardt‰Ûªs interest in cooking ‰ÛÏforeign‰Ûù foods and curiosity about the stories behind these dishes took her to Asia to explore influences on regional cuisine and take part in preparing food with people she met.,Autumn 1999,"['Biology', 'Mathematics']",,,1,1
115,,English; Political Science,Beckett Senter,Senter became interested in the concept of the ‰ÛÏflow state‰Ûù when he was separated from his tour group in Paris. He wants to explore the nature of ‰ÛÏflow state‰Ûù-which emerges when a person taps into unexpressed potential to meet a new challenge-as he travels by bicycle through Malaysia and several provinces in Indonesia.,Autumn 1999,"['English', 'Political Science']",1,1,,
116,,English; Political Science,Carew Boulding,"Boulding is passionate about Chile. She has studied Chilean literature and politics, as well as Spanish. Captivated by the magical realism of Gabriel Garcia Marquez, and at the same time troubled by the violence and torture of contemporary Chile that she learned about in her studies, Carew traveled to Chile to experience this complex society on the ground. Beginning her travels in Santiago and Valparaiso, she moved on to the mountain highlands and the Southern Lake District, making her plans en route as she met and talked with local villagers.",Spring 1999,"['English', 'Political Science']",1,1,,
117,,History,Nathan Christensen,"Christensen, one of fifteen siblings in a blended family, grew up in small communities with little opportunity to travel. His educational experiences at the University of Washington created in Nathan a thirst to understand and experience other cultures with his own eyes and ears. He envisioned a trip around the world by train, in part to travel slowly, and as well to encounter fellow passengers in a more prolonged setting. He began his rail excursion in Northern Europe, moved through Russia, and then on to China.",Spring 1999,['History'],1,,,
118,,Comparative Literature; Comparative History of Ideas,Hillary Elkund,"Eklund is fascinated by the close relationship between cooking and storytelling, the subject of many novels she has read. In her proposal Hilary wrote, ‰ÛÏthere is something magical about food, about the lengths to which humans will go to make their survival palatable, spicy, pleasurable. To prepare food is, in many ways to create culture and to facilitate the sharing of stories.‰Ûù Hilary ate her way through Chile, exploring the cultural importance of food and stories.",Spring 1999,"['Comparative Literature', 'Comparative History of Ideas']",1,,,
119,,Atmospheric Sciences; Comparative History of Ideas,Ian Horton,"Horton approached his Bonderman journey with this aesthetic: ‰ÛÏI search for texture beneath my scientific objectives and family history, something in the grand sweep of the Himalayas or the colors of a coral reef. I use my body as an antenna, tracing out the curves of a mountain hillside, or bobbing in the waves of a tropical sea.‰Ûù His plans included exploring islands in the Pacific, then trekking through Nepal/Tibet, and finally traveling across China. Once underway, Ian rethought his itinerary, enabling him to explore a few areas more thoroughly. Beginning on Kwajelein in the Marshall Islands and Guam in the Marianas, he traveled on to New Zealand, Indonesia, and Thailand.",Spring 1999,"['Atmospheric Sciences', 'Comparative History of Ideas']",1,,1,
120,,Anthropology,Jeannine Page,"Page has always been an avid outdoorswoman, spending much of her time hiking and camping. She looks forward to a life studying people‰Ûªs lives in the context of their cultures. Before embarking on this career adventure, Jeannine aims to more fully understand herself, her perceptions, and her purpose. To do this, she is currently traversing the length of Chile, more than five thousand miles from Visviri to Puerto Williams, on foot.",Spring 1999,['Anthropology'],1,,,
121,,Scandinavian Area Studies; Economics,Thor Sletten,"Sletten entered the University of Washington at the age of fifteen as an Early Entrance Program (EEP) student. He has a fascination for Norse literature, history, and mythology. Thor traveled throughout Norway and Iceland with only a small backpack and a camera.",Spring 1999,"['Scandinavian Area Studies', 'Economics']",1,1,,
122,,Comparative History of Ideas,David Van Leeuwen,"Van Leeuwen began medical school in Holland straight out of high school; but after successfully completing his first year of study, chose to transfer to the University of Washington to complete an undergraduate education. ‰ÛÏHow, I reasoned, will a 24 year-old doctor who has studied nothing but the sciences since eighth grade be able to connect on a human level with his patients?‰Ûù Van LeeuwenåÊproposed a Bonderman journey through the ‰ÛÏAIDS-Belt‰Ûù of Africa, around Lake Victoria. He wrote: ‰ÛÏI want to be moved, to allow these people and this disease to come into my heart and change me in ways that could not happen here in the West. I want to have a deep-rooted sense of humanity, one that will be the driving force in my medical studies and future practice.‰Ûù",Spring 1999,['Comparative History of Ideas'],1,,,
123,,Psychology,Catherine Chu,"Chu proposed travel to the East to learn different approaches to understanding and attaining health. Deeply concerned with western medicine‰Ûªs ‰ÛÏlack of knowledge to understand and care for the whole self,‰Ûù Catherine sought to observe and immerse herself in a holistic and spiritually focused medical approach. A serious injury accident delayed Catherine‰Ûªs departure until the summer of 2000, following her first year of medical school at Harvard. She traveled through the countryside talking with people from many types of backgrounds ‰ÛÏabout their medical, political, and spiritual opinions,‰Ûù giving her a rich source of comparisons with the western medical tradition she is now studying.",1998,['Psychology'],1,,,
124,,Art History,Jesse Locker,"Locker undertook a modern-day pilgrimage starting in Rome, moving eastward across the Mediterranean to the Caspian and Black Seas, and visiting holy sites, museums, and ruins. He studied the Mediterranean, and took this opportunity to explore how earlier inhabitants might have experienced travel by restricting himself to travel by boat, train, and foot.",1998,['Art History'],1,,,
125,,Physics,Hans-Peter Marshall,"Marshall spent much of his undergraduate education studying and doing research in Glacial Geophysics in Antarctica. He used the opportunity of his Bonderman Fellowship to travel to the northern arctic where he lived with the Gwitchin people and learned about their way of life in Old Crow. Hans-Peter found an opportunity to volunteer in a local school in a remote fly-in only community, enabling him to extend his stay to 5 months.åÊFor his work with the Gwitchin,åÊMarshal wasåÊnamed the Volunteer of the Year for all of Canada by the Frontiers Foundation. He later pursuedåÊdoctoral studies in Civil Engineering at the University of Colorado in Boulder.",1998,['Physics'],,,,1
126,,Mathmatics,Carrie Rabel,"Rabel once proclaimed, ‰ÛÏIf I were to wake up with one magical power, I would make everyone love math. I think math is cool.‰Ûù Eagerly planning a career as a high school math teacher, Carrie had never considered travel. A Bonderman Fellowship took Carrie beyond her affinity for the familiar and comfortable to experience the mathematical wonders of the world in both hemispheres. Carrie‰Ûªs criteria for such ‰Û÷wonders‰Ûª? She selected sites that are historical, not reproducible, and that reflect mathematical principles and approaches to their creation.",1998,['Mathematics'],,,,1
127,,Spanish,Jeremy Simer,"SimeråÊundertook a cultural and political exploration of Latin America. Particularly passionate about connecting his bilingual education with social justice issues, Jeremy sought to immerse himself in the popular cultural and political life of Latin America, experiencing it from the bus and in the homes of people he met as he traveled.",1998,['Spanish'],1,,,
128,,Physics,Kyle Sundqvist,"Sundqvist has a lifelong fascination with the stars. He combined his boyhood curiosity about the night sky as seen from the Southern Hemisphere with a love of the sea in a journey by boat through the South Pacific. There, he was exposed to the whims of local travel and nuances of island cultures while taking in the Southern Cross and other features of the night sky down under.",1998,['Physics'],,,,1
129,,Comparative History of Ideas; Journalism,Samantha Appleton,"Appleton proposed to travel to Romania, specifically Bucharest and Transylvania and documented her journey through a camera, drawing on her skills and history as a photojournalist.",1997,"['Comparative History of Ideas', 'Journalism']",1,1,,
130,,Biochemistry,Ilona Barash,"Barash proposed to trek in Nepal to explore the beautiful mountains and different culture. She planned to study Nepalese in Kathmandu, explore the Annapurna and Everest regions, explore the Terai jungles, and raft in the lowlands.",1997,['Biochemistry'],,,1,
131,,Economics,John Chandler Johnson,Johnson planned to travel through various remote regions of China to enhance his knowledge and understanding of their culture and customs.,1997,['Economics'],,1,,
132,,Physics; Japanese,Rebecca Morely,"Morely proposed to travel throughout Western and Eastern Europe (including England, Ireland, Amsterdam, Germany, the Czech Republic, Poland, Slovakia, Austria, Hungary, Romania, Bulgaria, Slovenia, Italy, France, Spain, and Portegual) in pursuit of the concept of a ‰Û÷nation‰Ûª.",1997,"['Physics', 'Japanese']",1,,,1
133,,Physics; Russian Literature and Language,Valerie Peyton,"Peyton proposed to travel throughout Russia, including Moscow, St. Petersburg, Kiev, and Odessa. Her goal was to interact with individuals as much as possible and gain a glimpse of many different aspects of Russian life and culture.",1997,"['Physics', 'Russian Literature and Language']",1,,,1
134,,International Studies; Economics,Angela Wang,Wang proposed to travel throughout the People‰Ûªs Republic of China.,1997,"['International Studies', 'Economics']",,1,,
135,,Electrical Engineering,Andy Westall,"Westall proposed to follow the 49th Parallel around the world. Desiring to capture the unique quality of light during sunsets at this parallel, Andy proposed to travel from Newfoundland and Prince Edward Island to France, the Czech Republic, Poland, the Ukraine, Russia, and Mongolia.",1997,['Electrical Engineering'],,,,1
136,,Botany,Brian Witte,"Witte desired to travel through Mediterranean civilizations through the back door on foot, bus, and ferry. His planned destinations were France, Italy, Greece, Turkey, Macedonia, and Morocco.",1997,['Botany'],,,1,
137,,Economics,Angela Crossman,"Crossman will purchase a round-the-world plane ticket and travel to selected major cities throughout the Northern Hemisphere ( New York City, London, Prague, Cairo, Bangkok, Tokyo). Angela is interested in focusing on daily life and human interactions in each of these cities. Beyond that, she hopes to gain insight into what is being done in each city in response to HIV &amp; AIDS.",1996,['Economics'],,1,,
138,,Biochemistry,Michael Dahl,"Dahl will use his Honors Travel Fellowship to experience Africa, specifically the countries of Tanzania and Kenya, on his mountain bike. Mike will first spend some time at a hospital in Tanzania, observing medical doctors. Using this at ‰ÛÏhome base‰Ûù he will branch out to Kenya for short bike trips.",1996,['Biochemistry'],,,1,
139,,Art History,Blynne Kensel,"Kensel will be traveling to Italy, Turkey &amp; Greece.",1996,['Art History'],1,,,
140,,Botany; Anthropology,Tonya Lander,Lander will be traveling to northeastern Venezuela to Amazon River delta in Brazil.,1996,"['Botany', 'Anthropology']",1,,1,
141,,Communications; Political Science,Chris Lundry,Lundry traveled to East Timor (Indonesia).,1996,"['Communications', 'Political Science']",1,1,,
142,,English,Raney Newman,Newman will bring her violin to Romania to participate in village music.,1996,['English'],1,,,
143,,Sociology,Mike Spittel,Spittel traveled to Vietnam &amp; South Africa.,1996,['Sociology'],,1,,
144,,Music and Composition,Byron Auyoung,"Auyoung traveled to South Korea, Taiwan, and Japan to pursue the study of narrative and dramatic music in the various cultures he encountered.",1995,['Music'],1,,,
145,,Botany; Anthropology,David Goldman,Goldman traveled to Ecuador to examine the western influence on the ethnobotanical traditions of indigenous peoples.,1995,"['Botany', 'Anthropology']",1,,1,
146,,English,Ryan Kimmel,"Kimmel traveled throughout England, France, and Italy to visit the great exhibits of Naturalist art and read the Naturalist literature of Zora, Bastien-Lepage, Lhermitte, and Van Gogh.",1995,['English'],1,,,
147,,Art History,Molly Pasco,"Pasco traveled through England, Wales, France, and Spain examining medieval textiles and decorative arts in museums and monuments.",1995,['Art History'],1,,,
148,,English; French Literature,Sarah Roberts,"Roberts traveled through France, Spain, Portugal, and Morocco to pursue her interests in literature and language. She was specifically interested in the nature of identity that is created through language, especially that of colonial languages.",1995,"['English', 'French Literature']",1,,,
149,,Atmospheric Sciences,Elizabeth Tuttle,Tuttle traveled through Nepal in an attempt to reconcile her Western scientific concepts of nature as a force to be mastered and controlled with Eastern concepts of living in harmony with nature and its power.,1995,['Atmospheric Sciences'],,,1,
150,,Art History,Chaundra Williams,"Williams traveled through India to research a variety of cave temples representing the Hindu, Jain, and Buddhists influences on Indian culture.",1995,['Art History'],1,,,